
Query: SRR32209849_1.fastq.gz	DB: RefSeq	SketchLen: 23658	Seqs: 558719 	Bases: 49881158	gSize: 4073984	GC: 0.481	Quality: 0.9101	AvgCount: 7.467	Depth: 7.464	File: SRR32209849_1.fastq.gz
WKID	KID	ANI	SSU	SSULen	Complt	Contam	Contam2	uContam	Score	E-Val	Depth	Depth2	Volume	RefHits	Matches	Unique	Unique2	Unique3	noHit	Length	TaxID	ImgID    	gBases	gKmers	gSize	gSeqs	GC	rDiv	qDiv	rSize	qSize	cHits	taxName	file	seqName	taxonomy
67.48%	60.27%	98.58%	.	0	82.78%	26.05%	0.39%	2.30%	12214	0.00e+00	7.591	7.532	108.3	170.7	14259	6	13463	19739	1182	23658	1095657	-1	3971576	3966011	3966011	81	0.476	21132	23658	21132	23658	6164	Vibrio cholerae O1 str. NHCC-008D	.	tid|1095657|NZ_KB661866.1 Vibrio cholerae O1 str. NHCC-008D vcoNHCC008D.contig.66, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio cholerae
43.88%	39.31%	97.06%	.	0	59.84%	46.40%	0.39%	2.30%	6434	0.00e+00	7.671	7.598	71.36	177.7	9299	4	8699	19739	1169	23658	2204204	-1	3993568	3988360	3988360	168	0.471	21193	23658	21193	23658	10977	Vibrio sp. 2017V-1110	.	tid|2204204|NZ_QKKU01000002.1 Vibrio sp. 2017V-1110 2017V_1110_contig2, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2017V-1110
44.58%	39.37%	97.11%	.	0	58.39%	48.43%	0.40%	2.35%	6291	0.00e+00	7.675	7.598	71.52	178.1	9315	1	8708	19739	1246	23658	2204198	-1	3832137	3828882	3828882	105	0.474	20895	23658	20895	23658	11457	Vibrio sp. 07-2425	.	tid|2204198|NZ_QKKO01000002.1 Vibrio sp. 07-2425 07-2425_ori_contig_2, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 07-2425
41.89%	37.51%	96.89%	.	0	58.45%	47.66%	0.39%	2.25%	6054	0.00e+00	7.690	7.610	68.25	181.4	8873	13	8289	19739	1158	23658	2204199	-1	3987160	3983564	3983564	116	0.474	21184	23658	21184	23658	11275	Vibrio sp. 2014V-1107	.	tid|2204199|NZ_QKKP01000016.1 Vibrio sp. 2014V-1107 2014V_1107_contig16, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2014V-1107
43.01%	38.12%	96.98%	.	0	57.60%	48.95%	0.39%	2.33%	6052	0.00e+00	7.641	7.563	68.94	179.3	9019	0	8413	19739	1205	23658	2204205	-1	3868307	3864246	3864246	131	0.472	20968	23658	20968	23658	11580	Vibrio sp. 2017V-1144	.	tid|2204205|NZ_QKKV01000022.1 Vibrio sp. 2017V-1144 2017V_1144_contig22, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2017V-1144
40.85%	36.83%	96.80%	.	0	58.21%	47.52%	0.38%	2.29%	5954	0.00e+00	7.689	7.599	67.02	181.4	8714	0	8135	19739	1146	23658	2204203	-1	4080506	4077716	4077716	90	0.472	21330	23658	21330	23658	11242	Vibrio sp. 2017V-1105	.	tid|2204203|NZ_QKKT01000040.1 Vibrio sp. 2017V-1105 2017V_1105_contig40, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2017V-1105
42.09%	37.32%	96.91%	.	0	56.39%	50.01%	0.39%	2.33%	5850	0.00e+00	7.738	7.644	68.34	175.8	8828	1	8233	19739	1216	23658	2204201	-1	3896089	3893888	3893888	71	0.473	20972	23658	20972	23658	11831	Vibrio sp. 2016V-1111	.	tid|2204201|NZ_QKKR01000010.1 Vibrio sp. 2016V-1111 2016V-1111_ori_contig_9, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2016V-1111
42.13%	37.31%	96.91%	.	0	56.11%	50.31%	0.40%	2.34%	5824	0.00e+00	7.702	7.611	68.00	175.4	8826	4	8239	19739	1232	23658	2204202	-1	3872198	3869346	3869346	92	0.473	20950	23658	20950	23658	11903	Vibrio sp. 2016V-1114	.	tid|2204202|NZ_QKKS01000018.1 Vibrio sp. 2016V-1114 2016V_1114_contig18, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2016V-1114
42.30%	37.26%	96.93%	.	0	55.64%	51.00%	0.41%	2.40%	5780	0.00e+00	7.687	7.597	67.78	175.7	8814	69	8240	19739	1357	23658	2204200	-1	3814012	3811129	3811129	93	0.473	20835	23658	20835	23658	12065	Vibrio sp. 2016V-1091	.	tid|2204200|NZ_QKKQ01000043.1 Vibrio sp. 2016V-1091 2016V_1091_contig43, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2016V-1091
41.55%	36.86%	96.86%	.	0	55.66%	50.62%	0.40%	2.27%	5734	0.00e+00	7.663	7.575	66.85	175.9	8721	20	8131	19739	1224	23658	2204206	-1	3896121	3892711	3892711	110	0.472	20990	23658	20990	23658	11976	Vibrio sp. 2017V-1176	.	tid|2204206|NZ_QKKW01000013.1 Vibrio sp. 2017V-1176 2017V_1176_contig13, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrio sp. 2017V-1176
